"filename", "language", "GLSL", "C++", "comment", "blank", "total"
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\AObjectDraw.cpp", "C++", 0, -555, -15, -71, -641
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\AObjectDraw.h", "C++", 0, -63, -6, -12, -81
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\ApplicationMain.cpp", "C++", 0, -225, -11, -30, -266
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\ApplicationMain.h", "C++", 0, -20, 0, -5, -25
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\Button.h", "C++", 0, -23, 0, -5, -28
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\Camera.h", "C++", 0, -83, 0, -3, -86
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\Constants.h", "C++", 0, -14, -3, -3, -20
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\DrawingPad.cpp", "C++", 0, -82, -12, -9, -103
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\DrawingPad.h", "C++", 0, -25, -3, -6, -34
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\EngineBase.h", "C++", 0, -16, 0, -1, -17
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\GUIText.cpp", "C++", 0, -243, -10, -50, -303
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\GUIText.h", "C++", 0, -56, 0, -12, -68
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\GlStuff.h", "C++", 0, -11, -3, -2, -16
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\GlobalVars.h", "C++", 0, -32, -3, -1, -36
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\IntializeShaders.h", "C++", 0, -143, -3, -12, -158
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\KeyPresses.cpp", "C++", 0, -58, -3, -7, -68
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\KeyPresses.h", "C++", 0, -17, -3, -4, -24
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\Lighting.h", "C++", 0, -37, 0, -6, -43
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Scripts\Line.h", "C++", 0, -105, 0, -6, -111
