"filename", "language", "Markdown", "GLSL", "XML", "HTML", "YAML", "C", "C++", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftlist.h", "C++", 0, 0, 0, 0, 0, 0, -42, 0, 0, -219, -36, -297
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftlogging.h", "C++", 0, 0, 0, 0, 0, 0, -19, 0, 0, -141, -25, -185
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftlzw.h", "C++", 0, 0, 0, 0, 0, 0, -14, 0, 0, -72, -15, -101
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftmac.h", "C++", 0, 0, 0, 0, 0, 0, -48, 0, 0, -210, -32, -290
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftmm.h", "C++", 0, 0, 0, 0, 0, 0, -97, 0, 0, -645, -64, -806
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftmodapi.h", "C++", 0, 0, 0, 0, 0, 0, -95, 0, 0, -642, -71, -808
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftmoderr.h", "C++", 0, 0, 0, 0, 0, 0, -54, 0, 0, -120, -31, -205
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftotval.h", "C++", 0, 0, 0, 0, 0, 0, -34, 0, 0, -148, -25, -207
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftoutln.h", "C++", 0, 0, 0, 0, 0, 0, -65, 0, 0, -474, -50, -589
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftparams.h", "C++", 0, 0, 0, 0, 0, 0, -31, 0, 0, -151, -37, -219
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftpfr.h", "C++", 0, 0, 0, 0, 0, 0, -26, 0, 0, -133, -21, -180
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftrender.h", "C++", 0, 0, 0, 0, 0, 0, -82, 0, 0, -119, -44, -245
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftsizes.h", "C++", 0, 0, 0, 0, 0, 0, -18, 0, 0, -118, -24, -160
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftsnames.h", "C++", 0, 0, 0, 0, 0, 0, -36, 0, 0, -207, -30, -273
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftstroke.h", "C++", 0, 0, 0, 0, 0, 0, -91, 0, 0, -621, -62, -774
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftsynth.h", "C++", 0, 0, 0, 0, 0, 0, -23, 0, 0, -59, -23, -105
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftsystem.h", "C++", 0, 0, 0, 0, 0, 0, -50, 0, 0, -258, -43, -351
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\fttrigon.h", "C++", 0, 0, 0, 0, 0, 0, -44, 0, 0, -262, -45, -351
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\fttypes.h", "C++", 0, 0, 0, 0, 0, 0, -81, 0, 0, -442, -95, -618
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftwinfnt.h", "C++", 0, 0, 0, 0, 0, 0, -73, 0, 0, -177, -27, -277
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\otsvg.h", "C++", 0, 0, 0, 0, 0, 0, -41, 0, 0, -262, -34, -337
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\t1tables.h", "C++", 0, 0, 0, 0, 0, 0, -227, 0, 0, -459, -108, -794
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ttnameid.h", "C++", 0, 0, 0, 0, 0, 0, -673, 0, 0, -494, -69, -1236
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\tttables.h", "C++", 0, 0, 0, 0, 0, 0, -195, 0, 0, -580, -81, -856
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\tttags.h", "C++", 0, 0, 0, 0, 0, 0, -89, 0, 0, -19, -17, -125
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\ft2build.h", "C++", 0, 0, 0, 0, 0, 0, -4, 0, 0, -30, -9, -43
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\MySpecialEngine.vcxproj", "XML", 0, 0, -221, 0, 0, 0, 0, 0, 0, 0, 0, -221
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\README.md", "Markdown", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -3
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\BasicFrag.frag", "GLSL", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, -5, -13
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\BasicNoTextureFrag.frag", "GLSL", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -3, -10
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\BasicNoTextureVert.vert", "GLSL", 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -4, -16
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\BasicVert.vert", "GLSL", 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -4, -16
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\FractalFrag.frag", "GLSL", 0, -29, 0, 0, 0, 0, 0, 0, 0, 0, -11, -40
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\FractalVert.vert", "GLSL", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\SMappingBasicFrag.frag", "GLSL", 0, -47, 0, 0, 0, 0, 0, 0, 0, 0, -11, -58
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\SMappingBasicVert.vert", "GLSL", 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, -5, -26
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\SMappingDepthTextureFrag.frag", "GLSL", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, -2, -6
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\SMappingDepthTextureVert.vert", "GLSL", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\SMappingNoTextureFrag.frag", "GLSL", 0, -43, 0, 0, 0, 0, 0, 0, 0, 0, -11, -54
